"日時","種類","中継サービス名","端末エージェント名","ログオン ユーザー名","詳細 1","詳細 2"
"2026/04/30 13:14:18","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE050","m-kawano","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 13:02:14","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE035","y-tsukamoto","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 12:58:11","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI109","m-harada","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 12:57:56","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE012","h-kikuchi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 11:43:24","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE032","t-kishikawa","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 11:37:06","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE012","h-kikuchi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 10:42:56","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE025","f-katsumoto","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 10:09:03","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE025","f-katsumoto","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 09:19:32","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE078","t-inoue","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/30 09:15:27","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE078","t-inoue","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/30 09:15:19","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE047","k-nakashima","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/30 09:03:29","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE050","m-kawano","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 08:37:15","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE078","t-inoue","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/g/g-8sPlJ64Gn-tiyatuto"
"2026/04/30 08:35:01","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE078","t-inoue","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/30 08:33:39","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE078","t-inoue","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/30 08:32:10","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE032","t-kishikawa","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/30 08:31:50","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE078","t-inoue","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/30 08:31:11","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE032","t-kishikawa","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/30 08:17:42","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE062","h-kamachi","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/30 07:55:39","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI109","m-harada","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/29 18:15:17","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE069","y-kawano","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/29 15:15:41","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE010","h-enjoji","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/29 11:54:18","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE058","k-fujii","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/29 11:14:18","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE062","h-kamachi","指定されたキーワードを含む URL にアクセスされました。","https://youtube.com/"
"2026/04/29 10:50:03","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE062","h-kamachi","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/29 08:57:11","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE062","h-kamachi","指定されたキーワードを含む URL にアクセスされました。","https://www.instagram.com/"
"2026/04/29 08:57:06","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE062","h-kamachi","指定されたキーワードを含む URL にアクセスされました。","https://www.instagram.com/"
"2026/04/29 08:47:08","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE010","h-enjoji","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/29 08:46:02","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE010","h-enjoji","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/29 08:35:40","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE062","h-kamachi","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/29 08:34:44","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE062","h-kamachi","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 23:48:21","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE074","y-ohira","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 21:05:39","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE028","k-koga","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 20:07:46","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI113","i-sugiuchi","指定されたキーワードを含む URL にアクセスされました。","https://drive.google.com/drive/?lfhs=2"
"2026/04/28 20:05:29","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI113","i-sugiuchi","指定されたキーワードを含む URL にアクセスされました。","https://drive.google.com/drive/?lfhs=2"
"2026/04/28 19:53:14","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI053","t-ueda","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/28 19:46:10","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI053","t-ueda","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/28 19:32:40","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI053","t-ueda","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/28 19:30:21","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI113","i-sugiuchi","指定されたキーワードを含む URL にアクセスされました。","https://drive.google.com/drive/?lfhs=2"
"2026/04/28 19:16:29","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE062","h-kamachi","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 19:15:53","デバイス操作監視","malioncloud4891.intercom.co.jp","SHINEI115","m-taniue","[USB- リムーバブルメディア]が接続されています。","KIOXIA TransMemory USB Device(USBSTOR\DISK&VEN_KIOXIA&PROD_TRANSMEMORY&REV_\0022CFF653EDC8708323CA4D&0)"
"2026/04/28 18:41:18","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE043","n-kitahara","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 18:00:19","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE056","d-iwatsu","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 17:32:59","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE033","i-ogata","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 17:32:59","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE033","i-ogata","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 17:27:05","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE007","k-nozaki","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 17:24:42","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE008","ta-noumi","指定されたキーワードを含む URL にアクセスされました。","https://datadeliver.net/"
"2026/04/28 17:23:38","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE080","d-komori","指定されたキーワードを含む URL にアクセスされました。","https://www.instagram.com/"
"2026/04/28 17:23:29","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE008","ta-noumi","指定されたキーワードを含む URL にアクセスされました。","https://datadeliver.net/"
"2026/04/28 17:19:33","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE080","d-komori","指定されたキーワードを含む URL にアクセスされました。","https://www.instagram.com/"
"2026/04/28 17:14:38","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE008","ta-noumi","指定されたキーワードを含む URL にアクセスされました。","https://datadeliver.net/"
"2026/04/28 17:07:03","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE032","t-kishikawa","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 17:00:40","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE050","m-kawano","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 17:00:00","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE067","h-ohtsuka","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:57:18","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:57:12","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI128","m-kinjo","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:56:29","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:49:21","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE037","a-matsumoto","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 16:49:53","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE082","t-fujisawa","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 16:45:45","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:43:34","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE080","d-komori","指定されたキーワードを含む URL にアクセスされました。","https://www.instagram.com/"
"2026/04/28 16:42:06","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:41:10","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE011","a-matsuguma","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:36:39","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:31:17","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE085","t-masuda","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 16:31:02","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:28:38","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE067","h-ohtsuka","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:22:48","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE064","y-ogawa","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 16:15:51","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 16:15:48","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE028","k-koga","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 15:40:26","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEISYSTEM","Administrator","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 15:36:32","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 15:31:45","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE078","t-inoue","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/28 15:31:42","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE037","a-matsumoto","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 15:31:42","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE037","a-matsumoto","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 15:29:47","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE080","d-komori","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 15:27:59","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 15:26:08","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE008","ta-noumi","指定されたキーワードを含む URL にアクセスされました。","https://datadeliver.net/"
"2026/04/28 15:24:42","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE008","ta-noumi","指定されたキーワードを含む URL にアクセスされました。","https://datadeliver.net/"
"2026/04/28 15:24:27","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE077","y-ichinose","指定されたキーワードを含む URL にアクセスされました。","https://youtube.com/"
"2026/04/28 15:19:35","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE037","a-matsumoto","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 15:11:12","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 15:10:18","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI128","m-kinjo","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 15:06:06","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE008","ta-noumi","指定されたキーワードを含む URL にアクセスされました。","https://datadeliver.net/"
"2026/04/28 15:03:40","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 15:02:46","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE037","a-matsumoto","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 14:52:16","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 14:46:06","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE056","d-iwatsu","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 14:35:57","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE078","t-inoue","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/g/g-8sPlJ64Gn-tiyatuto"
"2026/04/28 14:30:38","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE024","k-uesugi","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 14:30:36","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE024","k-uesugi","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 14:25:00","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI053","t-ueda","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/28 14:17:27","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE018","y-muroi","指定されたキーワードを含む URL にアクセスされました。","https://youtube.com/"
"2026/04/28 13:54:50","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE077","y-ichinose","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 13:29:34","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 13:20:23","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 13:10:29","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE029","a-ono","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 13:00:30","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE064","y-ogawa","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 12:59:14","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 12:52:28","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI128","m-kinjo","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 12:52:16","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 12:49:47","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI128","m-kinjo","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 12:01:39","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI109","m-harada","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/28 11:48:17","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE007","k-nozaki","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 11:44:06","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE023","t-kashima","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 11:40:19","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 11:37:38","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE028","k-koga","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 11:32:43","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE023","t-kashima","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 11:31:13","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE028","k-koga","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 11:31:10","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 11:28:55","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE085","t-masuda","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 11:21:52","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE075","k-uchida","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 11:12:06","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE023","t-kashima","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 11:11:53","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 11:02:35","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE075","k-uchida","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 11:02:06","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE075","k-uchida","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 11:01:52","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 10:54:04","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 10:49:39","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 10:45:14","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 10:29:30","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 10:18:06","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI133","m-wakana","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 10:15:44","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 10:10:22","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 10:06:27","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE058","k-fujii","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 10:05:49","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE058","k-fujii","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 10:04:39","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE083","m-oura","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 10:03:33","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI109","m-harada","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/28 10:03:28","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 09:57:54","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 09:50:37","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE007","k-nozaki","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 09:41:52","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE073","y-kawano","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 09:41:03","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE073","y-kawano","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/28 09:37:00","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE070","y-tanaka","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 09:33:46","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI109","m-harada","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/28 09:26:01","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE029","a-ono","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 09:23:40","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE070","y-tanaka","指定されたキーワードを含む URL にアクセスされました。","https://chatgpt.com/"
"2026/04/28 09:21:24","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE058","k-fujii","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 09:20:55","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE049","y-inadomi","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/28 09:18:56","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE078","t-inoue","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
